Laravel Developer,https://www.rozee.pk/conjoint-media-laravel-developer-islamabad-faisalabad-karachi-lahore-multan-bahawalpur-jobs-1557806?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557806&utm_campaign=ROZEE.PK_job_search,Conjoint Media,//www.rozee.pk/company/conjoint-media,Multiple Cities,"PKR. 60,000 - 100,000/Month",238 views,"Posted Dec 19, 2024",Null,"CRM Development,PHP,Laravel Development",Information Technology,Software & Web Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Multan, Bahawalpur",No Preference,Bachelors,Experienced Professional,3 Years,"Jan 20, 2025","Dec 19, 2024"
Sales / Business Development Manager,https://www.rozee.pk/ease-international-sales-business-development-manager-all-cities-jobs-1558722?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558722&utm_campaign=ROZEE.PK_job_search,Ease International,//www.rozee.pk/company/ease-international,All Cities,N/A,1969 views,Posted 4 days ago,Null,"Sales Management,Sales Automation,Business Development Process,Coordination Skills",Business Development,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Masters,Experienced Professional,N/A,"Jan 22, 2025","Dec 22, 2024"
Admin Manager,https://www.rozee.pk/beyond-rehab-group-admin-manager-islamabad-karachi-lahore-peshawar-quetta-rawalpindi-gilgit-jobs-1558748?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558748&utm_campaign=ROZEE.PK_job_search,Beyond Rehab Group,//www.rozee.pk/company/beyond-rehab-group,All Cities,"PKR. 100,000 - 175,000/Month",3589 views,Posted 3 days ago,Null,"Communication Skills,Admin Operations Management,Admin Management",Healthcare / Hospital / Medical,Administration,1 Post,Work from Home,Full Time/Permanent,All Cities,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 23, 2025","Dec 23, 2024"
Story Narrator,https://www.rozee.pk/micro-world-story-narrator-islamabad-karachi-multan-rawalpindi-bahawalpur-jobs-1557470?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557470&utm_campaign=ROZEE.PK_job_search,Micro World,//www.rozee.pk/company/micro-world,Multiple Cities,"PKR. 20,000 - 100,000/Month",458 views,"Posted Dec 18, 2024",Null,"English Grammar,Fluent in English,Manga,Ai Tools",Information Technology,Writer,10 Posts,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Multan, Rawalpindi, Bahawalpur",No Preference,Intermediate/A-Level,Entry Level,Less than 1 Year,"Jan 19, 2025","Dec 18, 2024"
Trade & Credit Associate,https://www.rozee.pk/united-bank-limited-ubl-trade-credit-associate-all-cities-jobs-1531626?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1531626&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 70,000 - 80,000/Month",69483 views,"Posted Dec 17, 2024",Null,"Client Dealing Market Knowledge,Trade Finance Knowledge,Relationship Management",Banking/Financial Services,Client Services & Customer Support,35+ Posts,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Bachelors,Entry Level,N/A,"Jan 18, 2025","Dec 17, 2024"
Relationship Manager - Retail,https://www.rozee.pk/united-bank-limited-ubl-relationship-manager-retail-all-cities-jobs-1358368?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1358368&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 80,000 - 150,000/Month",395743 views,"Posted Dec 17, 2024",Null,"Administration Knowledge,Relationship Management,Telemarketing  Skills",Banking/Financial Services,Retail,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Bachelors,Entry Level,N/A,"Jan 18, 2025","Dec 17, 2024"
Call Center Agent,https://www.rozee.pk/al-amal-telecommunication-call-center-agent-multan-bahawalpur-jobs-1554308?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1554308&utm_campaign=ROZEE.PK_job_search,Al Amal Telecommunication,//www.rozee.pk/company/al-amal-telecommunication1,Multiple Cities,N/A,643 views,"Posted Dec 09, 2024",Null,"Handle Outbound Calls,Fluent in English,Confidential Documents Handling,Product Distribution Skills",Telecommunication / ISP,Telemarketing,35+ Posts,First Shift (Day),Full Time/Permanent,"Multan, Bahawalpur",Female,Bachelors,Entry Level,Fresh,"Jan 10, 2025","Dec 09, 2024"
Officer Grade - IV Non-Graduate Program,https://www.rozee.pk/united-bank-limited-ubl-officer-grade-iv-non-graduate-program-all-cities-jobs-1518854?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1518854&utm_campaign=ROZEE.PK_job_search,United Bank Limited (UBL),//www.rozee.pk/company/united-bank-limited-ubl,All Cities,"PKR. 40,000 - 45,000/Month",815146 views,"Posted Dec 12, 2024",Null,"Admin Operations Management,Quick Learner,Market Knowledge,Customer Care Representation",Banking/Financial Services,Client Services & Customer Support,35+ Posts,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Matriculation/O-Level,Entry Level,N/A,"Jan 13, 2025","Dec 12, 2024"
Sales Consultant / Manager,https://www.rozee.pk/efu-life-assurance-ltd-sales-consultant-manager-karachi-lahore-rawalpindi-abbottabad-attock-badin-bahawalnagar-bahawalpur-dadu-dera-ismail-khan-jobs-1404391?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1404391&utm_campaign=ROZEE.PK_job_search,EFU Life Assurance Ltd,//www.rozee.pk/company/efu-life-assurance-ltd1,Multiple Cities,"PKR. 10,000 - 20,000/Month",51958 views,"Posted Dec 13, 2024",Null,"Persuasion Customer,Negotiation Skills,End-to-End Sale",Insurance / Takaful,Sales & Business Development,35+ Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Hyderabad, Karachi, Lahore, Mardan, Multan, Peshawar, Quetta, Rawalpindi, Sargodha, Sukkur, Abbottabad, Attock, Badin, Bahawalnagar, Bahawalpur, Dadu, Gujrat, Hafizabad, Jacobabad, Jhelum, Kandhkot, Khairpur, Kotri, Larkana, Mandi Bahauddin, Mansehra, Mirpur Khas, Muzaffarabad, Nawabshah, Okara, Rahimyar Khan, Sadiqabad, Sahiwal, Shikarpur, Tando Adam, Tando Allahyar, Wah Cantt, Dera Ismail Khan, Umer Kot, Hub",No Preference,Intermediate/A-Level,Entry Level,Fresh,"Mar 14, 2025","Dec 13, 2024"
Sales Executive,https://www.rozee.pk/maple-leaf-cement-factory-limited-sales-executive-jobs-1559750?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559750&utm_campaign=ROZEE.PK_job_search,Maple Leaf Cement Factory Limited,//www.rozee.pk/company/maple-leaf-cement-factory-limited-1,Bahawalpur,"PKR. 80,000 - 80,000/Month",160 views,Posted 2 days ago,Null,"Communication,Negotiation,Customer Relationship Management,Sales Strategy,Prospecting,Product Knowledge,Time Management,Presentation,Closing Techniques,CRM Software",N/A,N/A,1 Post,N/A,Full Time/Permanent,"Bahawalpur, Layyah, Nawabshah, Rahimyar Khan",No Preference,N/A,N/A,4 Years,"Jan 25, 2025","Dec 24, 2024"
