Accountant,https://www.rozee.pk/vertex-business-solution-accountant-faisalabad-jobs-1558714?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558714&utm_campaign=ROZEE.PK_job_search,Vertex Business Solution,//www.rozee.pk/company/vertex-business-solution1,Faisalabad,"PKR. 30,000 - 60,000/Month",70 views,Posted 5 hours ago,Null,"Payroll Management,Bookkeeping Knowledge,Tax Preparation",Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 22, 2025","Dec 26, 2024"
Assistant Manager - eCommerce,https://www.rozee.pk/nutrifactor-assistant-manager-ecommerce-faisalabad-jobs-1560184?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560184&utm_campaign=ROZEE.PK_job_search,Nutrifactor,//www.rozee.pk/company/nutrifactor,Faisalabad,"PKR. 50,000 - 100,000/Month",35 views,Posted 2 hours ago,Null,"SEO Knowledge,Team Management,Google Analytics,MS Excel",Pharmaceuticals / Clinical Research,Operations,1 Post,First Shift (Day),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Customer Services Representative,https://www.rozee.pk/rapid-it-solution-customer-services-representative-faisalabad-jobs-1559468?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559468&utm_campaign=ROZEE.PK_job_search,Hamdan IT Tech,//www.rozee.pk/company/hamdan-it-tech,Faisalabad,"PKR. 35,000 - 50,000/Month",306 views,Posted 2 days ago,Null,"Communication Skills,Fluent in English,Customer Services",BPO,Client Services & Customer Support,6 Posts,Third Shift (Night),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 24, 2024"
Business Planner,https://www.rozee.pk/chisty-law-chambers-business-planner-faisalabad-jobs-1560024?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560024&utm_campaign=ROZEE.PK_job_search,Chisty Law Chambers,//www.rozee.pk/company/chisty-law-chambers1,Faisalabad,"PKR. 50,000 - 80,000/Month",27 views,Posted 7 hours ago,Null,"Complaint Management,Financial Analysis,Business Writing,Business Strategy",Law Firms/Legal,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Experienced Professional,3 Years,"Jan 27, 2025","Dec 26, 2024"
Rigger,https://www.rozee.pk/al-hadi-placement-services-rigger-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-muzaffarabad-jobs-1560008?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560008&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 250,000/Month",116 views,Posted 6 hours ago,Null,"Coordination Skills,Communication Skills,Commercial Driving",Recruitment / Employment Firms,Architects & Construction,30 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Muzaffarabad",No Preference,Certification,Experienced Professional,5 Years,"Jan 27, 2025","Dec 26, 2024"
Franchise Sales / Business Development Executive,https://www.rozee.pk/remax-pakistan-franchise-sales-business-development-executive-faisalabad-gujranwala-lahore-multan-sialkot-okara-jobs-1560078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560078&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,"PKR. 70,000 - 400,000/Month",120 views,Posted 5 hours ago,Null,"Presentation Skills,Communication Skills,Sales Growth,Business Development,Sales Management,Business Development Strategies,Marketing Strategies",Real Estate/Property,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Multan, Sialkot, Okara",No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 27, 2025","Dec 26, 2024"
Steel / Pipe Fitter,https://www.rozee.pk/al-hadi-placement-services-steel-pipe-fitter-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559888?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559888&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,60 views,Posted 7 hours ago,Null,"Steel Structures Knowledge,Pipes Maintenance,Installing Skills",Recruitment / Employment Firms,Maintenance/Repair,20 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",Male,Diploma,Experienced Professional,5 Years,"Jan 26, 2025","Dec 26, 2024"
Lamination Machine Operator,https://www.rozee.pk/al-hadi-placement-services-laminator-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-muzaffarabad-taxila-jobs-1560002?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560002&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 250,000/Month",97 views,Posted 7 hours ago,Null,"Wood Bonding,Operating Laminating Machines,Laminate Flooring",Recruitment / Employment Firms,Maintenance/Repair,18 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Muzaffarabad, Taxila",Male,Diploma,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Spray Painter - Sand Blast,https://www.rozee.pk/al-hadi-placement-services-spray-painter-sand-blast-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-taxila-jobs-1559992?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559992&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,66 views,Posted 7 hours ago,Null,"Spray Painting,Cleanse Dust,Blasting Equipment",Recruitment / Employment Firms,Maintenance/Repair,20 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Taxila",Male,Intermediate/A-Level,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Land Surveyor,https://www.rozee.pk/al-hadi-placement-services-land-surveyor-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-taxila-jobs-1559898?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559898&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 350,000/Month",135 views,Posted 21 hours ago,Null,"Digital Mapping,Problem Solving Skills,Mathematical Skills",Recruitment / Employment Firms,Engineering,19 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Taxila",Male,Bachelors,Experienced Professional,4 Years,"Jan 26, 2025","Dec 25, 2024"
Virtual Assistant - Amazon PL,https://www.rozee.pk/the-assistrix-virtual-assistant-amazon-pl-islamabad-faisalabad-karachi-lahore-rawalpindi-jobs-1559778?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559778&utm_campaign=ROZEE.PK_job_search,The Assistrix,//www.rozee.pk/company/the-assistrix,Multiple Cities,"PKR. 20,000 - 30,000/Month",120 views,Posted 20 hours ago,Null,"Keyword Research Skills,SEO,Communication Skills,Digital Marketing Analysis",E-Commerce / E- Business,Sales & Business Development,1 Post,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Diploma,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 25, 2024"
Virtual Assistant - Amazon Wholesale,https://www.rozee.pk/the-assistrix-virtual-assistant-amazon-wholesale-islamabad-faisalabad-karachi-lahore-rawalpindi-jobs-1559774?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559774&utm_campaign=ROZEE.PK_job_search,The Assistrix,//www.rozee.pk/company/the-assistrix,Multiple Cities,"PKR. 20,000 - 30,000/Month",212 views,Posted 20 hours ago,Null,"Amazon FBA Knowledge,Product Hunting,Amazon Listing Creation,Competitor Analysis",E-Commerce / E- Business,Sales & Business Development,1 Post,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Short Course,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 25, 2024"
