Franchise Sales / Business Development Executive,https://www.rozee.pk/remax-pakistan-franchise-sales-business-development-executive-faisalabad-gujranwala-lahore-multan-sialkot-okara-jobs-1560078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560078&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,"PKR. 70,000 - 400,000/Month",181 views,Posted 8 hours ago,Null,"Presentation Skills,Communication Skills,Sales Growth,Business Development,Sales Management,Business Development Strategies,Marketing Strategies",Real Estate/Property,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Multan, Sialkot, Okara",No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 27, 2025","Dec 26, 2024"
Content Designer,https://www.rozee.pk/indus-home-appliances-content-designer-gujranwala-jobs-1560054?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560054&utm_campaign=ROZEE.PK_job_search,Indus Home Appliances,//www.rozee.pk/company/indus-home-appliances,Gujranwala,"PKR. 45,000 - 70,000/Month",18 views,Posted 8 hours ago,Null,"Social Media Marketing,Adobe Illustrator,After Effects,Adobe Photoshop,Adobe Suite,Motion Graphics,Concept Planning,Campaign Management,Blender,3d Animations,Video Editing",Manufacturing,Creative Design,2 Posts,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Intermediate/A-Level,Entry Level,1 Year,"Jan 27, 2025","Dec 26, 2024"
Graphic Designer,https://www.rozee.pk/rami-fashions-graphic-designer-gujranwala-jobs-1560150?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560150&utm_campaign=ROZEE.PK_job_search,Rami Fashions,//www.rozee.pk/company/rami-fashions,Gujranwala,N/A,22 views,Posted 5 hours ago,Null,"Adobe Photoshop,Adobe Illustrator,Adobe Creative Suite",Apparel/Clothing,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Bachelors,Entry Level,1 Year,"Jan 27, 2025","Dec 26, 2024"
Plant / Production Manager,https://www.rozee.pk/used-sweden-machines-plant-production-manager-gujranwala-jobs-1559980?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559980&utm_campaign=ROZEE.PK_job_search,Used Sweden Machines,//www.rozee.pk/company/used-sweden-machines,Gujranwala,"PKR. 80,000 - 150,000/Month",28 views,Posted 11 hours ago,Null,"Team Management Skills,C Problem Solving,Quality Control,Production Task Handling",Manufacturing,Manufacturing,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Bachelors,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Machine Operator,https://www.rozee.pk/used-sweden-machines-machine-operator-gujranwala-jobs-1559988?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559988&utm_campaign=ROZEE.PK_job_search,Used Sweden Machines,//www.rozee.pk/company/used-sweden-machines,Gujranwala,"PKR. 40,000 - 70,000/Month",24 views,Posted 11 hours ago,Null,"Quality Control,Troubleshooting  Skills,Materials Knowledge,Machine Operations Handling",Manufacturing,Industrial Production,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Intermediate/A-Level,Experienced Professional,3 Years,"Jan 27, 2025","Dec 26, 2024"
Human Resource Manager,https://www.rozee.pk/used-sweden-machines-human-resource-manager-islamabad-gujranwala-jobs-1559990?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559990&utm_campaign=ROZEE.PK_job_search,Used Sweden Machines,//www.rozee.pk/company/used-sweden-machines,Multiple Cities,"PKR. 60,000 - 90,000/Month",121 views,Posted 11 hours ago,Null,"Time Management Skills,Recruitment Process Management,Business Decision Making,Workforce Management,Strategic HR Leadership,HR Policy Formulation,HR Policies Command",Manufacturing,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Gujranwala",No Preference,Bachelors,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Utility Manager,https://www.rozee.pk/used-sweden-machines-utility-manager-islamabad-gujranwala-jobs-1559984?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559984&utm_campaign=ROZEE.PK_job_search,Used Sweden Machines,//www.rozee.pk/company/used-sweden-machines,Multiple Cities,"PKR. 50,000 - 100,000/Month",89 views,Posted 11 hours ago,Null,"Preventive Maintenance,Problem Analysis Skills,Technical Staff Management,Expense Budget Management",Manufacturing,Distribution & Logistics,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Gujranwala",No Preference,Bachelors,Experienced Professional,3 Years,"Jan 27, 2025","Dec 26, 2024"
Architect Engineer,https://www.rozee.pk/al-hadi-placement-services-architect-engineer-islamabad-faisalabad-gujranwala-lahore-rawalpindi-abbottabad-attock-swabi-jobs-1559666?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559666&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 400,000/Month",131 views,Posted 2 days ago,Null,"Construction Management,Architectural Operations,Software Architecture Command",Recruitment / Employment Firms,Architects & Construction,30 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Gujranwala, Lahore, Rawalpindi, Abbottabad, Attock, Swabi",Male,Bachelors,Experienced Professional,4 Years (Preferred gulf experienced),"Jan 25, 2025","Dec 24, 2024"
Electrician,https://www.rozee.pk/used-sweden-machines-electrician-gujranwala-jobs-1559986?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559986&utm_campaign=ROZEE.PK_job_search,Used Sweden Machines,//www.rozee.pk/company/used-sweden-machines,Gujranwala,"PKR. 30,000 - 50,000/Month",10 views,Posted 11 hours ago,Null,"Electrical Controls Knowledge,Installation Process,Technical Project Leadership",Manufacturing,Maintenance/Repair,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Intermediate/A-Level,Experienced Professional,5 Years,"Jan 27, 2025","Dec 26, 2024"
Mechanical Engineer - Production Admin,https://www.rozee.pk/saab-moulded-furniture-mechanical-engineer-production-admin-gujranwala-jobs-1559512?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559512&utm_campaign=ROZEE.PK_job_search,Saab Moulded Furniture,//www.rozee.pk/company/saab-moulded-furniture,Gujranwala,"PKR. 30,000 - 40,000/Month",113 views,Posted 2 days ago,Null,"Manufacturing Operations Management,Mechanical  Skills,Mechanical Work",Manufacturing,Manufacturing,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,Male,Intermediate/A-Level,Experienced Professional,N/A,"Jan 25, 2025","Dec 24, 2024"
