Kitchen Designer,https://www.rozee.pk/opulent-home-interiors-kitchen-designer-islamabad-jobs-1560166?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560166&utm_campaign=ROZEE.PK_job_search,Opulent Home Interiors,//www.rozee.pk/company/opulent-home-interiors,Islamabad,"PKR. 20,000 - 30,000/Month",2 views,Posted 41 minutes ago,Null,"Adobe Pro,Adobe In Design,Creative Design",Warehousing,Creative Design,1 Post,Work from Home,Full Time/Permanent,Islamabad,No Preference,Bachelors,Entry Level,Fresh,"Jan 27, 2025","Dec 26, 2024"
Client Service Executive,https://www.rozee.pk/the-isb-travels-client-service-executive-islamabad-jobs-1560132?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560132&utm_campaign=ROZEE.PK_job_search,The ISB Travels,//www.rozee.pk/company/the-isb-travels,Islamabad,"PKR. 20,000 - 25,000/Month",6 views,Posted 24 minutes ago,Null,"Communication Skills,Fluent in English,Customer Handling",Travel/Tourism/Transportation,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Bachelors,Entry Level,Fresh,"Jan 27, 2025","Dec 26, 2024"
Admin Assistant,https://www.rozee.pk/bite-back-with-liz-admin-assistant-islamabad-wazirabad-yazman-mandi-zahir-pir-ziarat-zhob-washuk-winder-jobs-1560140?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560140&utm_campaign=ROZEE.PK_job_search,Bite Back With Liz,//www.rozee.pk/company/bite-back-with-liz,Multiple Cities,"PKR. 25,000 - 40,000/Month",5 views,Posted 19 minutes ago,Null,"Admin Task Management,Coaching Skills,Communication Skills",Health & Fitness,Administration,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Wazirabad, Yazman Mandi, Zahir Pir, Ziarat, Zhob, Washuk, Winder",Female,Non-Matriculation,Entry Level,1 Year,"Jan 13, 2025","Dec 26, 2024"
HR Coordinator,https://www.rozee.pk/shifa-tameer-e-millat-university-hr-coordinator-islamabad-jobs-1560144?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560144&utm_campaign=ROZEE.PK_job_search,Shifa Tameer-e-Millat University,//www.rozee.pk/company/shifa-tameer-e-millat-university,Islamabad,"PKR. 45,000 - 50,000/Month",37 views,Posted Recently,Null,"HR Policies Command,Payroll Management,Employee Relations  Management",Healthcare / Hospital / Medical,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Masters,Experienced Professional,N/A,"Jan 03, 2025","Dec 26, 2024"
Civil Engineer,https://www.rozee.pk/etimaad-international-pvt-ltd-civil-engineer-islamabad-jobs-1560154?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560154&utm_campaign=ROZEE.PK_job_search,Etimaad International Pvt Ltd,//www.rozee.pk/company/etimaad-international-pvt-ltd,Islamabad,"PKR. 20,000 - 30,000/Month",7 views,Posted Recently,Null,"Site Development,Communication Skills,Construction Management",Real Estate/Property,Engineering,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,Male,Masters,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Nutrition Specialist,https://www.rozee.pk/job/detail/1560162?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560162&utm_campaign=ROZEE.PK_job_search,Null,Null,Islamabad,"PKR. 400,000 - 450,000/Month",56 views,Posted Recently,Null,"Presentation Skills,Nutrition Analysis,Nutrition Education,Nutrition Survey and Assessments,Human Nutrition,Child Nutrition Care,Malnutrition Counseling,Reporting Skills,Financial and Budgeting Skills",N.G.O./Social Services,Health & Medicine,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Masters,Experienced Professional,5 Years,"Jan 20, 2025","Dec 26, 2024"
Carpenter,https://www.rozee.pk/shifa-tameer-e-millat-university-carpenter-islamabad-jobs-1560106?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560106&utm_campaign=ROZEE.PK_job_search,Shifa Tameer-e-Millat University,//www.rozee.pk/company/shifa-tameer-e-millat-university,Islamabad,N/A,11 views,Posted Recently,Null,"Finishing Skills,Measurement Tools Command,Repair and Restoration Knowledge,Construction Management,Woodworking Knowledge",Healthcare / Hospital / Medical,Maintenance/Repair,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Non-Matriculation,Experienced Professional,N/A,"Jan 02, 2025","Dec 26, 2024"
Franchise Consultant,https://www.rozee.pk/remax-pakistan-franchise-consultant-islamabad-hyderabad-karachi-mardan-quetta-rawalpindi-fr-peshawar-kohat-panjgur-jobs-1558908?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558908&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,N/A,70 views,Posted Recently,Null,"Communication Skills,Presentation Skills,Community Engagement,Negotiation Skills",Real Estate/Property,Sales & Business Development,15 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Hyderabad, Karachi, Mardan, Quetta, Rawalpindi, FR Peshawar / Kohat, Panjgur",No Preference,Intermediate/A-Level,Entry Level,N/A,"Jan 27, 2025","Dec 26, 2024"
AC Technician - Scale 03,https://www.rozee.pk/shifa-tameer-e-millat-university-ac-technician-scale-03-islamabad-jobs-1560118?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560118&utm_campaign=ROZEE.PK_job_search,Shifa Tameer-e-Millat University,//www.rozee.pk/company/shifa-tameer-e-millat-university,Islamabad,N/A,5 views,Posted Recently,Null,"Safety Compliance,Troubleshooting,Installation Knowledge",Healthcare / Hospital / Medical,Maintenance/Repair,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Matriculation/O-Level,Experienced Professional,2 Years,"Jan 02, 2025","Dec 26, 2024"
Administration Executive,https://www.rozee.pk/kale-administration-executive-islamabad-jobs-1560096?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560096&utm_campaign=ROZEE.PK_job_search,Kale,//www.rozee.pk/company/kale,Islamabad,"PKR. 60,000 - 70,000/Month",85 views,Posted 3 hours ago,Null,"Admin Operations Management,Admin Assistance,Admin Tasks Management,Accounts  Administration,Network Security Administration,Project Administration",Construction / Cement / Metals,Administration,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Bachelors,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Sales Executive,https://www.rozee.pk/iqbal-company-sales-executive-islamabad-jobs-1560090?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560090&utm_campaign=ROZEE.PK_job_search,Iqbal & Company,//www.rozee.pk/company/iqbal-company1,Islamabad,"PKR. 40,000 - 40,000/Month",50 views,Posted 3 hours ago,Null,"Communication Skills,Close Attention to Detail,Presentation Skills",Healthcare / Hospital / Medical,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,Islamabad,Male,Bachelors,Entry Level,Fresh,"Jan 27, 2025","Dec 26, 2024"
