Guest Relation Officer,https://www.rozee.pk/wasabi-and-company-guest-relation-officer-lahore-jobs-1560122?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560122&utm_campaign=ROZEE.PK_job_search,Wasabi and Company,//www.rozee.pk/company/wasabi-and-company,Lahore,"PKR. 35,000 - 70,000/Month",6 views,Posted 10 minutes ago,Null,"Problem Solving,Communication Skills,Fluent in English,Guest Service Management",Hospitality,Client Services & Customer Support,4 Posts,First Shift (Day),Full Time/Permanent,Lahore,Female,Bachelors,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Unit Manager,https://www.rozee.pk/pizza-online-unit-manager-lahore-jobs-1560128?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560128&utm_campaign=ROZEE.PK_job_search,Pizza Online,//www.rozee.pk/company/pizza-online,Lahore,"PKR. 150,000 - 200,000/Month",1 views,Posted 8 minutes ago,Null,"Business Development Strategies,Sales Management,Analytical Skills,Restaurant Management Skills",Food & Beverages,Operations,1 Post,First Shift (Day),Full Time/Permanent,Lahore,Male,Bachelors,Experienced Professional,7 Years,"Jan 06, 2025","Dec 26, 2024"
Sales Manager,https://www.rozee.pk/tigfox-power-private-limited-sales-manager-lahore-jobs-1560134?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560134&utm_campaign=ROZEE.PK_job_search,Tigfox Power Private Limited,//www.rozee.pk/company/tigfox-power-private-limited,Lahore,"PKR. 80,000 - 1,000,001/Month",2 views,Posted 6 minutes ago,Null,"Sales Management,Communication Skills,End to End Sales",Power / Energy,Sales & Business Development,10 Posts,Hybrid Work Model,Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 27, 2025","Dec 26, 2024"
Marketing Executive,https://www.rozee.pk/pizza-online-marketing-executive-lahore-jobs-1560110?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560110&utm_campaign=ROZEE.PK_job_search,Pizza Online,//www.rozee.pk/company/pizza-online,Lahore,"PKR. 50,000 - 125,000/Month",2 views,Posted 16 minutes ago,Null,"Marketing Strategies,Digital Marketing Analysis,Digital Marketing Management",Food & Beverages,Marketing,1 Post,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 06, 2025","Dec 26, 2024"
Import Executive,https://www.rozee.pk/kale-import-executive-lahore-jobs-1560112?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560112&utm_campaign=ROZEE.PK_job_search,Kale,//www.rozee.pk/company/kale,Lahore,"PKR. 70,000 - 80,000/Month",2 views,Posted 14 minutes ago,Null,"Communication Skills,Negotiation Skills,Import Operations Handling",Construction / Cement / Metals,Import & Export,1 Post,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,N/A,"Jan 27, 2025","Dec 26, 2024"
Video Editor,https://www.rozee.pk/pizza-online-video-editor-lahore-jobs-1560116?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560116&utm_campaign=ROZEE.PK_job_search,Pizza Online,//www.rozee.pk/company/pizza-online,Lahore,"PKR. 40,000 - 80,000/Month",2 views,Posted 12 minutes ago,Null,"Video Editing Techniques,Video Ads Management,Video Effects Knowledge",Food & Beverages,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,N/A,"Jan 03, 2025","Dec 26, 2024"
Tecnical Content Writer - WordPress,https://www.rozee.pk/techabout-tecnical-content-writer-wordpress-lahore-jobs-1558396?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558396&utm_campaign=ROZEE.PK_job_search,TechAbout,//www.rozee.pk/company/techabout,Lahore,N/A,77 views,Posted 5 days ago,Null,"Content Development,Creative Writing,Communication for Development",Information Technology,Writer,1 Post,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,3 Years,"Jan 21, 2025","Dec 20, 2024"
Lead Planning Engineer,https://www.rozee.pk/olga-international-private-ltd-lead-planning-engineer-lahore-jobs-1559710?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559710&utm_campaign=ROZEE.PK_job_search,Olga International (PRIVATE) LTD,//www.rozee.pk/company/olga-international-private-ltd,Lahore,"PKR. 150,000 - 200,000/Month",74 views,Posted Yesterday,Null,"Reproduction Planning,Communication Skills,Contract Management,Planning and  Budgeting",Oil & Gas / Natural Resources,Engineering,1 Post,First Shift (Day),Full Time/Permanent,Lahore,Male,Bachelors,Experienced Professional,N/A,"Jan 25, 2025","Dec 24, 2024"
Null,https://www.rozee.pk/riphah-international-university-deputy-ceo-max-education-services-lahore-jobs-1560108?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560108&utm_campaign=ROZEE.PK_job_search,Null,Null,Null,N/A,Null,Null,Null,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Restaurant General Manager,https://www.rozee.pk/pizza-online-restaurant-general-manager-lahore-jobs-1560102?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560102&utm_campaign=ROZEE.PK_job_search,Pizza Online,//www.rozee.pk/company/pizza-online,Lahore,N/A,15 views,Posted Recently,Null,"Operations Handling,Communications Skills,Restaurant Management,Multitasking Skills",Food & Beverages,Hotel/Restaurant Management,1 Post,Rotating,Full Time/Permanent,Lahore,Male,Bachelors,Experienced Professional,5 Years,"Jan 06, 2025","Dec 26, 2024"
