Graphics Designer,https://www.rozee.pk/synergy-creativity-printing-company-graphics-designer-karachi-lahore-multan-vehari-jobs-1559954?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559954&utm_campaign=ROZEE.PK_job_search,Synergy Creativity Printing Company,//www.rozee.pk/company/synergy-creativity-printing-company,Multiple Cities,"PKR. 30,000 - 50,000/Month",66 views,Posted 9 hours ago,Null,"Fluent in English,Adobe Photoshop,Adobe Illustrator,Website Creation",Packaging,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Lahore, Multan, Vehari",No Preference,Matriculation/O-Level,Experienced Professional,2 Years,"Jan 27, 2025","Dec 26, 2024"
Franchise Sales / Business Development Executive,https://www.rozee.pk/remax-pakistan-franchise-sales-business-development-executive-faisalabad-gujranwala-lahore-multan-sialkot-okara-jobs-1560078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560078&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,"PKR. 70,000 - 400,000/Month",171 views,Posted 8 hours ago,Null,"Presentation Skills,Communication Skills,Sales Growth,Business Development,Sales Management,Business Development Strategies,Marketing Strategies",Real Estate/Property,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Multan, Sialkot, Okara",No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 27, 2025","Dec 26, 2024"
Accounts Officer,https://www.rozee.pk/eastern-housing-accounts-officer-multan-jobs-1560016?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560016&utm_campaign=ROZEE.PK_job_search,Eastern Housing,//www.rozee.pk/company/eastern-housing1,Multan,"PKR. 25,000 - 35,000/Month",132 views,Posted 7 hours ago,Null,"Financial Accounting,Cash Flow Management,Financial Statement Analysis",Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,Multan,Male,Bachelors,Entry Level,N/A,"Jan 27, 2025","Dec 26, 2024"
General Manager,https://www.rozee.pk/horti-club-general-manager-islamabad-lahore-multan-rawalpindi-jobs-1559670?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559670&utm_campaign=ROZEE.PK_job_search,Horti Club,//www.rozee.pk/company/horti-club,Multiple Cities,"PKR. 150,000 - 200,000/Month",424 views,Posted 2 days ago,Null,"Communication Skills,Relationship Management,Business Development Process",Services,Operations,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Lahore, Multan, Rawalpindi",Male,Masters,Experienced Professional,4 Years (Business Administration and Marketing),"Jan 25, 2025","Dec 24, 2024"
Sales Executive,https://www.rozee.pk/sungrow-power-sales-executive-multan-jobs-1559890?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559890&utm_campaign=ROZEE.PK_job_search,SunGrow Power,//www.rozee.pk/company/sungrow-power,Multan,"PKR. 35,000 - 70,000/Month",132 views,Posted 23 hours ago,Null,"Client Contact Skills,Client Dealing,MS Excel,Outbound Calls Handle,Client Relationship,Call Control,Customer Care Representation",Services,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,Multan,No Preference,Intermediate/A-Level,Entry Level,Less than 1 Year,"Jan 26, 2025","Dec 25, 2024"
Pharmacist,https://www.rozee.pk/oriel-pvt-ltd-pharmacist-multan-jobs-1559842?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559842&utm_campaign=ROZEE.PK_job_search,Oriel Pvt Ltd,//www.rozee.pk/company/oriel-pvt-ltd,Multan,"PKR. 18,000 - 35,000/Month",99 views,Posted Yesterday,Null,"Retail Sales,Communication Skills,Selling Medical Equipment,Retail Products Knowledge",Retail,Health & Medicine,8 Posts,Rotating,Full Time/Permanent,Multan,No Preference,Intermediate/A-Level,Entry Level,1 Year,"Jan 26, 2025","Dec 25, 2024"
Personal Assistant To CEO,https://www.rozee.pk/global-star-group-personal-assistant-to-ceo-jobs-1559770?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559770&utm_campaign=ROZEE.PK_job_search,Global Star Group,//www.rozee.pk/company/global-star-group-1,Islamabad,N/A,374 views,Posted 2 days ago,Null,"Time Management,Communication,Discretion,Problem-Solving,Attention to Detail,Flexibility,Technology Proficiency,Relocation",N/A,N/A,1 Post,Hybrid Work Model,Full Time/Permanent,"Islamabad, Karachi, Lahore, Multan",No Preference,N/A,N/A,2 Years,"Jan 25, 2025","Dec 24, 2024"
Sales Officer,https://www.rozee.pk/style-styrofoam-industries-sales-officer-islamabad-hyderabad-lahore-multan-rawalpindi-dera-ghazi-khan-okara-sahiwal-jobs-1559492?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559492&utm_campaign=ROZEE.PK_job_search,Style Styrofoam Industries,//www.rozee.pk/company/style-styrofoam-industries,Multiple Cities,"PKR. 45,000 - 60,000/Month",556 views,Posted 2 days ago,Null,"Communication Skills,Coordination Skills,Sales Management",Manufacturing,Sales & Business Development,20 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Hyderabad, Lahore, Multan, Rawalpindi, Dera Ghazi Khan, Okara, Sahiwal",No Preference,Bachelors,Experienced Professional,N/A,"Jan 25, 2025","Dec 24, 2024"
Inventory Officer - SVC,https://www.rozee.pk/vivo-electric-private-limited-inventory-officer-svc-multan-jobs-1559508?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559508&utm_campaign=ROZEE.PK_job_search,Vivo Electric Private Limited,//www.rozee.pk/company/vivo-electric-private-limited,Multan,N/A,303 views,Posted 2 days ago,Null,"Management Skills,Coordination Skills,CRM Analysis",Electronics,Supply Chain Management,1 Post,First Shift (Day),Full Time/Permanent,Multan,Male,Bachelors,Experienced Professional,2 Years,"Jan 25, 2025","Dec 24, 2024"
ServiceNow Developer - ITAM,https://www.rozee.pk/cloud-ventures-private-limited-servicenow-developer-itam-islamabad-hyderabad-karachi-lahore-multan-sialkot-jobs-1559018?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559018&utm_campaign=ROZEE.PK_job_search,Cloud Ventures Private Limited.,//www.rozee.pk/company/cloud-ventures-private-limited,Multiple Cities,"PKR. 250,000 - 500,000/Month",224 views,Posted 3 days ago,Null,"IT Asset Management,Coordination Skills,Communication Skills",Information Technology,Software & Web Development,2 Posts,Second Shift (Afternoon),Full Time/Permanent,"Islamabad, Hyderabad, Karachi, Lahore, Multan, Sialkot",No Preference,Bachelors,Experienced Professional,4 Years,"Jan 24, 2025","Dec 23, 2024"
