SEO Backlink Specialist,https://www.rozee.pk/white-hat-tech-seo-backlink-specialist-rawalpindi-jobs-1559772?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559772&utm_campaign=ROZEE.PK_job_search,White Hat Tech,//www.rozee.pk/company/white-hat-tech,Rawalpindi,"PKR. 25,000 - 40,000/Month",5 views,Posted 3 hours ago,Null,"SEO On Page,Search Engine Ranking,SEMRUSH",Information Technology,Search Engine Optimization (SEO),1 Post,First Shift (Day),Full Time/Permanent,Rawalpindi,No Preference,Intermediate/A-Level,Entry Level,N/A,"Jan 25, 2025","Dec 26, 2024"
Figma Designer,https://www.rozee.pk/white-hat-tech-figma-designer-rawalpindi-jobs-1559762?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559762&utm_campaign=ROZEE.PK_job_search,White Hat Tech,//www.rozee.pk/company/white-hat-tech,Rawalpindi,"PKR. 25,000 - 40,000/Month",8 views,Posted 3 hours ago,Null,"Wireframing and Prototyping,Visual Design Skills,UI Design",Information Technology,Creative Design,1 Post,First Shift (Day),Full Time/Permanent,Rawalpindi,Male,Intermediate/A-Level,Entry Level,N/A,"Jan 25, 2025","Dec 26, 2024"
SEO / Content Writer,https://www.rozee.pk/all-star-technologies-seo-content-writer-rawalpindi-jobs-1560170?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560170&utm_campaign=ROZEE.PK_job_search,All Star Technologies,//www.rozee.pk/company/all-star-technologies1,Rawalpindi,"PKR. 50,000 - 100,000/Month",19 views,Posted 3 hours ago,Null,"Content Writing Skills,Content Blogging,Technical Content Production,SEO Engine Ranking",Information Technology,Writer,2 Posts,First Shift (Day),Full Time/Permanent,Rawalpindi,No Preference,Bachelors,Experienced Professional,N/A,"Jan 21, 2025","Dec 26, 2024"
Marketplace Specialist,https://www.rozee.pk/caprican-homeware-solutions-marketplace-specialist-islamabad-karachi-lahore-peshawar-quetta-rawalpindi-jobs-1559948?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559948&utm_campaign=ROZEE.PK_job_search,Caprican Homeware Solutions,//www.rozee.pk/company/caprican-homeware-solutions,Multiple Cities,"PKR. 60,000 - 100,000/Month",131 views,Posted 6 hours ago,Null,"Marketplace Handling,eBay Sales,Amazon FBA Knowledge,Amazon Operations Management,Marketing Strategies",E-Commerce / E- Business,Marketing,4 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Peshawar, Quetta, Rawalpindi",No Preference,Short Course,Entry Level,Fresh,"Jan 03, 2025","Dec 26, 2024"
Rigger,https://www.rozee.pk/al-hadi-placement-services-rigger-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-muzaffarabad-jobs-1560008?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560008&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 250,000/Month",109 views,Posted 6 hours ago,Null,"Coordination Skills,Communication Skills,Commercial Driving",Recruitment / Employment Firms,Architects & Construction,30 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Muzaffarabad",No Preference,Certification,Experienced Professional,5 Years,"Jan 27, 2025","Dec 26, 2024"
Franchise Consultant,https://www.rozee.pk/remax-pakistan-franchise-consultant-islamabad-hyderabad-karachi-mardan-quetta-rawalpindi-fr-peshawar-kohat-panjgur-jobs-1558908?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558908&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,N/A,163 views,Posted 3 hours ago,Null,"Communication Skills,Presentation Skills,Community Engagement,Negotiation Skills",Real Estate/Property,Sales & Business Development,15 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Hyderabad, Karachi, Mardan, Quetta, Rawalpindi, FR Peshawar / Kohat, Panjgur",No Preference,Intermediate/A-Level,Entry Level,N/A,"Jan 27, 2025","Dec 26, 2024"
Spray Painter - Sand Blast,https://www.rozee.pk/al-hadi-placement-services-spray-painter-sand-blast-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-taxila-jobs-1559992?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559992&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,60 views,Posted 7 hours ago,Null,"Spray Painting,Cleanse Dust,Blasting Equipment",Recruitment / Employment Firms,Maintenance/Repair,20 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Taxila",Male,Intermediate/A-Level,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Lamination Machine Operator,https://www.rozee.pk/al-hadi-placement-services-laminator-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-muzaffarabad-taxila-jobs-1560002?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560002&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 250,000/Month",91 views,Posted 7 hours ago,Null,"Wood Bonding,Operating Laminating Machines,Laminate Flooring",Recruitment / Employment Firms,Maintenance/Repair,18 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Muzaffarabad, Taxila",Male,Diploma,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Safety Officer,https://www.rozee.pk/al-hadi-placement-services-safety-officer-islamabad-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1560034?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560034&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,114 views,Posted 7 hours ago,Null,"Safety Practices,Safety Counseling,Safety Administration",Recruitment / Employment Firms,Safety & Environment,26 Posts,First Shift (Day),Contract,"Islamabad, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",No Preference,Bachelors,Experienced Professional,7 Years,"Jan 27, 2025","Dec 26, 2024"
Human Resource Specialist,https://www.rozee.pk/vox-tech-human-resource-specialist-rawalpindi-jobs-1559962?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559962&utm_campaign=ROZEE.PK_job_search,Vox Tech,//www.rozee.pk/company/vox-tech,Rawalpindi,"PKR. 30,000 - 40,000/Month",19 views,Posted 8 hours ago,Null,"Organizational Skills,Multiple Tasks,Recruitment Skills,Fluent in English",Call Center,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,Rawalpindi,Female,Bachelors,Entry Level,Less than 1 Year,"Jan 27, 2025","Dec 26, 2024"
